Name,Nationality,Current club,League Position,Myers-Briggs,Personality Type ,Ethnicity,Overall rating,Predicted Sponsorship value ,Current Market value,Sponsor,Individual Awards,Total Followers
Boubakary Soumaré,France,Leicester City,Defensive Midfield,Inspirer,Extrovert,Black,78,"1,521","25,200,000",adidas,0,"40,431"
Aleksandr Golovin,Russia,AS Monaco, Attacking Midfield,Scientist,Introvert,White,79,"3,113","25,200,000",Nike,0,"475,001"
Benoît Badiashile,France,AS Monaco,Centre-Back,Guardian,Extrovert,Black,76,"3,923","25,200,000",adidas,0,"30,241"
Nabil Fekir,France,Real Betis Balompié,Attacking Midfield,Artist,Introvert,White,84,"80,908","22,500,000",Nike,3,"1,440,800"
Daichi Kamada,Japan,Eintracht Frankfurt,Attacking Midfield,Performer,Extrovert,Asian,79,"6,789","22,500,000",Nike,0,"80,500"
André Zambo Anguissa,Cameroon,SSC Napoli,Defensive Midfield,Inspirer,Extrovert,Black,78,579,"22,500,000",Nike,0,"184,109"
Jason Denayer,Belgium,Olympique Lyon,Centre-Back,Guardian,Extrovert,Black,80,"26,713","22,500,000",Nike,4,"606,700"
Robin Le Normand,France,Real Sociedad,Centre-Back,Guardian,Extrovert,White,79,"8,207","22,500,000",adidas,0,"31,636"
Saïd Benrahma,Algeria,West Ham United,Left Winger,Artist,Introvert,White,77,"23,996","22,500,000",adidas,4,"1,766,800"
Giovanni Di Lorenzo,Italy,SSC Napoli,Right-Back,Duty Fulfiller,Introvert,White,80,"11,217","21,600,000",Puma,0,"458,000"
Rayan Cherki,France,Olympique Lyon,Midfield,Artist,Introvert,White,73,"8,721","20,700,000",adidas,0,"380,000"
Odilon Kossounou,Cote d'Ivoire,Bayer 04 Leverkusen,Centre-Back,Guardian,Extrovert,Black,74,"1,826","20,700,000",Puma,0,"36,205"
